,id,label
0,7401.0,3.0
1,7402.0,7.0
2,7403.0,3.0
3,7404.0,2.0
4,7405.0,6.0
5,7406.0,8.0
6,7407.0,6.0
7,7408.0,8.0
8,7409.0,7.0
9,7410.0,5.0
10,7411.0,5.0
11,7412.0,7.0
12,7413.0,8.0
13,7414.0,6.0
14,7415.0,2.0
15,7416.0,8.0
16,7417.0,8.0
17,7418.0,3.0
18,7419.0,4.0
19,7420.0,5.0
20,7421.0,6.0
21,7422.0,7.0
22,7423.0,3.0
23,7424.0,4.0
24,7425.0,1.0
25,7426.0,2.0
26,7427.0,8.0
27,7428.0,6.0
28,7429.0,5.0
29,7430.0,5.0
30,7431.0,3.0
31,7432.0,6.0
32,7433.0,8.0
33,7434.0,6.0
34,7435.0,1.0
35,7436.0,5.0
36,7437.0,8.0
37,7438.0,8.0
38,7439.0,8.0
39,7440.0,2.0
40,7441.0,8.0
41,7442.0,8.0
42,7443.0,4.0
43,7444.0,1.0
44,7445.0,5.0
45,7446.0,3.0
46,7447.0,4.0
47,7448.0,1.0
48,7449.0,5.0
49,7450.0,1.0
50,7451.0,3.0
51,7452.0,5.0
52,7453.0,3.0
53,7454.0,7.0
54,7455.0,7.0
55,7456.0,3.0
56,7457.0,5.0
57,7458.0,3.0
58,7459.0,6.0
59,7460.0,7.0
60,7461.0,5.0
61,7462.0,7.0
62,7463.0,7.0
63,7464.0,4.0
64,7465.0,1.0
65,7466.0,8.0
66,7467.0,7.0
67,7468.0,5.0
68,7469.0,1.0
69,7470.0,5.0
70,7471.0,2.0
71,7472.0,7.0
72,7473.0,3.0
73,7474.0,1.0
74,7475.0,3.0
75,7476.0,8.0
76,7477.0,8.0
77,7478.0,5.0
78,7479.0,8.0
79,7480.0,5.0
80,7481.0,4.0
81,7482.0,2.0
82,7483.0,5.0
83,7484.0,4.0
84,7485.0,6.0
85,7486.0,6.0
86,7487.0,7.0
87,7488.0,2.0
88,7489.0,8.0
89,7490.0,8.0
90,7491.0,1.0
91,7492.0,3.0
92,7493.0,2.0
93,7494.0,2.0
94,7495.0,1.0
95,7496.0,5.0
96,7497.0,6.0
97,7498.0,4.0
98,7499.0,6.0
99,7500.0,1.0
100,7501.0,3.0
101,7502.0,8.0
102,7503.0,1.0
103,7504.0,4.0
104,7505.0,2.0
105,7506.0,1.0
106,7507.0,4.0
107,7508.0,2.0
108,7509.0,8.0
109,7510.0,4.0
110,7511.0,4.0
111,7512.0,6.0
112,7513.0,6.0
113,7514.0,4.0
114,7515.0,2.0
115,7516.0,4.0
116,7517.0,1.0
117,7518.0,3.0
118,7519.0,2.0
119,7520.0,2.0
120,7521.0,1.0
121,7522.0,3.0
122,7523.0,1.0
123,7524.0,6.0
124,7525.0,7.0
125,7526.0,4.0
126,7527.0,4.0
127,7528.0,7.0
128,7529.0,1.0
129,7530.0,5.0
130,7531.0,5.0
131,7532.0,3.0
132,7533.0,4.0
133,7534.0,2.0
134,7535.0,5.0
135,7536.0,8.0
136,7537.0,2.0
137,7538.0,7.0
138,7539.0,5.0
139,7540.0,7.0
140,7541.0,5.0
141,7542.0,4.0
142,7543.0,4.0
143,7544.0,2.0
144,7545.0,5.0
145,7546.0,5.0
146,7547.0,8.0
147,7548.0,3.0
148,7549.0,1.0
149,7550.0,3.0
150,7551.0,8.0
151,7552.0,7.0
152,7553.0,5.0
153,7554.0,7.0
154,7555.0,2.0
155,7556.0,4.0
156,7557.0,5.0
157,7558.0,7.0
158,7559.0,7.0
159,7560.0,8.0
160,7561.0,5.0
161,7562.0,6.0
162,7563.0,2.0
163,7564.0,5.0
164,7565.0,2.0
165,7566.0,1.0
166,7567.0,5.0
167,7568.0,1.0
168,7569.0,4.0
169,7570.0,4.0
170,7571.0,1.0
171,7572.0,4.0
172,7573.0,6.0
173,7574.0,1.0
174,7575.0,1.0
175,7576.0,8.0
176,7577.0,8.0
177,7578.0,5.0
178,7579.0,4.0
179,7580.0,5.0
180,7581.0,2.0
181,7582.0,2.0
182,7583.0,4.0
183,7584.0,4.0
184,7585.0,3.0
185,7586.0,1.0
186,7587.0,4.0
187,7588.0,3.0
188,7589.0,3.0
189,7590.0,2.0
190,7591.0,5.0
191,7592.0,7.0
192,7593.0,7.0
193,7594.0,2.0
194,7595.0,3.0
195,7596.0,7.0
196,7597.0,5.0
197,7598.0,4.0
198,7599.0,4.0
199,7600.0,3.0
200,7601.0,4.0
201,7602.0,4.0
202,7603.0,3.0
203,7604.0,7.0
204,7605.0,7.0
205,7606.0,8.0
206,7607.0,4.0
207,7608.0,1.0
208,7609.0,8.0
209,7610.0,4.0
210,7611.0,2.0
211,7612.0,5.0
212,7613.0,1.0
213,7614.0,5.0
214,7615.0,5.0
215,7616.0,3.0
216,7617.0,8.0
217,7618.0,3.0
218,7619.0,3.0
219,7620.0,5.0
220,7621.0,2.0
221,7622.0,2.0
222,7623.0,5.0
223,7624.0,3.0
224,7625.0,8.0
225,7626.0,1.0
226,7627.0,8.0
227,7628.0,6.0
228,7629.0,5.0
229,7630.0,7.0
230,7631.0,4.0
231,7632.0,6.0
232,7633.0,3.0
233,7634.0,5.0
234,7635.0,5.0
235,7636.0,5.0
236,7637.0,6.0
237,7638.0,7.0
238,7639.0,1.0
239,7640.0,4.0
240,7641.0,7.0
241,7642.0,1.0
242,7643.0,5.0
243,7644.0,8.0
244,7645.0,8.0
245,7646.0,1.0
246,7647.0,2.0
247,7648.0,5.0
248,7649.0,2.0
249,7650.0,6.0
